unixTime,temp,sal,pH
1651209600.0,73.6,35.0,8.41
1651209605.0,73.6,36.0,8.35
1651209610.0,74.3,35.0,8.23
1651209615.0,74.2,34.0,8.02
1651209620.0,75.3,35.0,8.13
1651209625.0,74.1,34.0,8.21
1651209630.0,74.1,34.0,8.04
1651209635.0,78.0,34.0,8.22
1651209640.0,78.0,35.0,8.36
1651209645.0,73.1,34.0,8.26
1651209650.0,79.4,34.0,8.05
1651209655.0,74.7,36.0,8.08
1651209660.0,78.5,35.0,8.33
1651209665.0,74.5,35.0,8.13
1651209670.0,75.0,34.0,8.32
1651209675.0,76.8,36.0,8.42
1651209680.0,79.1,35.0,8.26
1651209685.0,78.1,36.0,8.24
1651209690.0,74.6,36.0,8.39
1651209695.0,78.4,34.0,8.1
1651209700.0,77.1,36.0,8.22
1651209705.0,79.0,36.0,8.36
1651209710.0,74.7,36.0,8.11
1651209715.0,78.4,34.0,8.27
1651209720.0,76.0,36.0,8.03
1651209725.0,79.0,35.0,8.14
1651209730.0,77.9,34.0,8.44
1651209735.0,76.6,34.0,8.43
1651209740.0,79.1,35.0,8.0
1651209745.0,73.9,36.0,8.33
1651209750.0,73.3,34.0,8.02
1651209755.0,74.1,35.0,8.16
1651209760.0,77.9,34.0,8.22
1651209765.0,75.4,34.0,8.04
1651209770.0,77.6,35.0,8.01
1651209775.0,74.5,35.0,8.16
1651209780.0,76.7,36.0,8.25
1651209785.0,73.3,36.0,8.17
1651209790.0,74.1,34.0,8.37
1651209795.0,79.8,36.0,8.03
1651209800.0,79.4,35.0,8.35
1651209805.0,74.4,34.0,8.35
1651209810.0,79.9,35.0,8.17
1651209815.0,75.5,35.0,8.01
1651209820.0,77.8,36.0,8.06
1651209825.0,74.8,36.0,8.28
1651209830.0,74.0,36.0,8.19
1651209835.0,77.9,36.0,8.48
1651209840.0,77.0,34.0,8.13
1651209845.0,77.1,35.0,8.13
1651209850.0,78.8,35.0,8.35
1651209855.0,76.0,35.0,8.44
1651209860.0,79.0,36.0,8.02
1651209865.0,77.8,35.0,8.26
1651209870.0,76.8,35.0,8.13
1651209875.0,78.5,35.0,8.42
1651209880.0,79.8,35.0,8.16
1651209885.0,78.6,35.0,8.19
1651209890.0,75.4,35.0,8.1
1651209895.0,75.4,36.0,8.05
1651209900.0,78.6,35.0,8.48
1651209905.0,75.8,35.0,8.4
1651209910.0,76.5,34.0,8.02
1651209915.0,79.7,34.0,8.22
1651209920.0,73.4,36.0,8.17
1651209925.0,73.9,36.0,8.39
1651209930.0,79.8,36.0,8.47
1651209935.0,78.4,34.0,8.21
1651209940.0,78.1,36.0,8.29
1651209945.0,76.4,34.0,8.06
1651209950.0,74.5,36.0,8.46
1651209955.0,74.7,35.0,8.46
1651209960.0,74.3,34.0,8.13
1651209965.0,75.8,35.0,8.41
1651209970.0,75.6,34.0,8.12
1651209975.0,73.4,34.0,8.26
1651209980.0,76.0,35.0,8.48
1651209985.0,78.3,35.0,8.46
1651209990.0,75.3,36.0,8.02
1651209995.0,75.6,36.0,8.01
1651210000.0,76.2,34.0,8.32
1651210005.0,77.7,36.0,8.35
1651210010.0,76.7,35.0,8.28
1651210015.0,75.8,34.0,8.32
1651210020.0,75.0,34.0,8.34
1651210025.0,75.7,36.0,8.41
1651210030.0,75.0,36.0,8.17
1651210035.0,75.2,34.0,8.04
1651210040.0,74.9,35.0,8.01
1651210045.0,78.4,34.0,8.47
1651210050.0,77.7,34.0,8.01
1651210055.0,77.8,34.0,8.14
1651210060.0,74.3,36.0,8.49
1651210065.0,79.3,34.0,8.08
1651210070.0,73.6,35.0,8.1
1651210075.0,78.2,34.0,8.29
1651210080.0,80.0,36.0,8.07
1651210085.0,76.3,34.0,8.46
1651210090.0,79.9,35.0,8.42
1651210095.0,77.3,36.0,8.31
1651210100.0,77.3,34.0,8.21
1651210105.0,78.8,34.0,8.1
1651210110.0,73.4,34.0,8.21
1651210115.0,78.6,35.0,8.49
1651210120.0,79.9,34.0,8.22
1651210125.0,78.6,36.0,8.23
1651210130.0,74.2,36.0,8.3
1651210135.0,74.5,34.0,8.04
1651210140.0,77.7,35.0,8.04
1651210145.0,73.3,36.0,8.28
1651210150.0,75.6,35.0,8.45
1651210155.0,77.0,34.0,8.36
1651210160.0,75.4,36.0,8.1
1651210165.0,78.4,34.0,8.14
1651210170.0,74.4,36.0,8.35
1651210175.0,78.6,35.0,8.38
1651210180.0,79.1,35.0,8.49
1651210185.0,78.4,36.0,8.16
1651210190.0,79.3,35.0,8.13
1651210195.0,80.0,36.0,8.11
1651210200.0,77.5,35.0,8.32
1651210205.0,77.4,34.0,8.13
1651210210.0,73.4,36.0,8.0
1651210215.0,76.7,36.0,8.09
1651210220.0,75.1,36.0,8.48
1651210225.0,77.7,35.0,8.09
1651210230.0,78.0,35.0,8.18
1651210235.0,73.5,36.0,8.24
1651210240.0,76.9,35.0,8.18
1651210245.0,77.6,35.0,8.2
1651210250.0,74.1,35.0,8.42
1651210255.0,75.3,34.0,8.06
1651210260.0,73.9,35.0,8.4
1651210265.0,79.4,34.0,8.47
1651210270.0,79.3,34.0,8.25
1651210275.0,75.2,36.0,8.01
1651210280.0,78.7,35.0,8.25
1651210285.0,75.4,35.0,8.47
1651210290.0,77.3,34.0,8.19
1651210295.0,73.6,34.0,8.23
1651210300.0,78.2,35.0,8.28
1651210305.0,74.2,36.0,8.21
1651210310.0,77.9,35.0,8.05
1651210315.0,73.8,34.0,8.09
1651210320.0,77.4,35.0,8.19
1651210325.0,74.4,35.0,8.37
1651210330.0,75.3,36.0,8.43
1651210335.0,74.3,36.0,8.0
1651210340.0,78.7,36.0,8.12
1651210345.0,79.5,36.0,8.25
1651210350.0,78.5,34.0,8.34
1651210355.0,76.4,35.0,8.48
1651210360.0,78.2,34.0,8.2
1651210365.0,75.9,35.0,8.02
1651210370.0,74.1,34.0,8.15
1651210375.0,73.6,35.0,8.26
1651210380.0,79.4,35.0,8.34
1651210385.0,73.3,35.0,8.06
1651210390.0,78.7,36.0,8.27
1651210395.0,74.1,35.0,8.36
1651210400.0,73.4,36.0,8.19
1651210405.0,78.4,36.0,8.17
1651210410.0,79.3,35.0,8.2
1651210415.0,78.5,35.0,8.0
1651210420.0,73.3,35.0,8.12
1651210425.0,73.5,36.0,8.02
1651210430.0,76.1,35.0,8.41
1651210435.0,80.0,35.0,8.09
1651210440.0,74.8,36.0,8.14
1651210445.0,74.6,34.0,8.29
1651210450.0,79.2,36.0,8.39
1651210455.0,76.9,35.0,8.3
1651210460.0,79.8,34.0,8.38
1651210465.0,73.3,36.0,8.22
1651210470.0,76.5,36.0,8.15
1651210475.0,79.9,35.0,8.11
1651210480.0,77.9,35.0,8.06
1651210485.0,78.8,35.0,8.49
1651210490.0,75.1,35.0,8.0
1651210495.0,77.7,35.0,8.0
1651210500.0,75.6,36.0,8.47
1651210505.0,77.6,34.0,8.33
1651210510.0,77.4,35.0,8.01
1651210515.0,77.0,34.0,8.37
1651210520.0,77.6,36.0,8.27
1651210525.0,76.3,35.0,8.44
1651210530.0,74.2,34.0,8.23
1651210535.0,79.2,35.0,8.06
1651210540.0,75.2,36.0,8.11
1651210545.0,73.6,34.0,8.41
1651210550.0,77.0,35.0,8.3
1651210555.0,75.9,35.0,8.49
1651210560.0,77.2,34.0,8.01
1651210565.0,77.8,35.0,8.31
1651210570.0,77.4,34.0,8.4
1651210575.0,74.0,36.0,8.45
1651210580.0,78.1,35.0,8.27
1651210585.0,74.9,34.0,8.42
1651210590.0,77.4,35.0,8.19
1651210595.0,76.3,35.0,8.06
1651210600.0,75.6,36.0,8.07
1651210605.0,75.9,35.0,8.2
1651210610.0,77.1,34.0,8.41
1651210615.0,78.4,35.0,8.42
1651210620.0,75.1,36.0,8.4
1651210625.0,75.6,36.0,8.0
1651210630.0,76.7,35.0,8.26
1651210635.0,75.2,35.0,8.41
1651210640.0,73.6,36.0,8.45
1651210645.0,77.5,36.0,8.27
1651210650.0,74.1,35.0,8.36
1651210655.0,73.0,36.0,8.1
1651210660.0,79.2,36.0,8.28
1651210665.0,73.2,36.0,8.2
1651210670.0,79.5,34.0,8.0
1651210675.0,75.1,35.0,8.43
1651210680.0,76.6,34.0,8.15
1651210685.0,76.1,35.0,8.18
1651210690.0,77.8,36.0,8.02
1651210695.0,74.4,34.0,8.38
1651210700.0,78.8,36.0,8.19
1651210705.0,76.6,36.0,8.04
1651210710.0,73.1,36.0,8.12
1651210715.0,77.1,36.0,8.37
1651210720.0,77.5,34.0,8.49
1651210725.0,78.9,35.0,8.36
1651210730.0,76.5,36.0,8.35
1651210735.0,75.4,35.0,8.46
1651210740.0,78.7,34.0,8.06
1651210745.0,73.0,34.0,8.38
1651210750.0,77.9,36.0,8.34
1651210755.0,74.7,36.0,8.03
1651210760.0,76.1,34.0,8.04
1651210765.0,75.5,34.0,8.32
1651210770.0,73.3,34.0,8.32
1651210775.0,73.2,35.0,8.4
1651210780.0,77.9,34.0,8.25
1651210785.0,76.8,34.0,8.28
1651210790.0,76.8,35.0,8.01
1651210795.0,77.3,35.0,8.46
1651210800.0,73.4,36.0,8.25
1651210805.0,75.4,36.0,8.46
1651210810.0,75.5,34.0,8.44
1651210815.0,75.4,35.0,8.06
1651210820.0,77.4,35.0,8.48
1651210825.0,78.1,36.0,8.49
1651210830.0,77.8,36.0,8.48
1651210835.0,77.5,34.0,8.22
1651210840.0,79.4,34.0,8.33
1651210845.0,76.2,36.0,8.23
1651210850.0,77.6,34.0,8.37
1651210855.0,74.0,36.0,8.09
1651210860.0,78.3,34.0,8.04
1651210865.0,79.5,35.0,8.4
1651210870.0,79.9,35.0,8.13
1651210875.0,77.5,34.0,8.13
1651210880.0,73.9,36.0,8.01
1651210885.0,77.2,36.0,8.22
1651210890.0,76.1,36.0,8.4
1651210895.0,73.7,35.0,8.46
1651210900.0,79.8,35.0,8.12
1651210905.0,74.4,35.0,8.2
1651210910.0,77.9,36.0,8.37
1651210915.0,74.8,34.0,8.43
1651210920.0,78.5,35.0,8.08
1651210925.0,75.2,35.0,8.12
1651210930.0,74.6,35.0,8.39
1651210935.0,75.8,34.0,8.46
1651210940.0,74.5,34.0,8.47
1651210945.0,76.4,35.0,8.18
1651210950.0,78.4,36.0,8.01
1651210955.0,76.2,36.0,8.44
1651210960.0,76.6,36.0,8.34
1651210965.0,76.8,34.0,8.15
1651210970.0,74.9,35.0,8.28
1651210975.0,75.0,34.0,8.19
1651210980.0,77.0,36.0,8.25
1651210985.0,73.2,35.0,8.46
1651210990.0,77.0,34.0,8.39
1651210995.0,79.7,36.0,8.09
1651211000.0,77.8,34.0,8.19
1651211005.0,78.3,36.0,8.47
1651211010.0,77.4,35.0,8.09
1651211015.0,78.8,34.0,8.05
1651211020.0,76.1,34.0,8.18
1651211025.0,75.9,35.0,8.2
1651211030.0,73.1,34.0,8.05
1651211035.0,75.3,36.0,8.01
1651211040.0,73.7,36.0,8.36
1651211045.0,77.0,34.0,8.33
1651211050.0,74.6,35.0,8.31
1651211055.0,73.7,35.0,8.14
1651211060.0,77.3,35.0,8.14
1651211065.0,77.5,35.0,8.39
1651211070.0,74.8,36.0,8.07
1651211075.0,77.4,36.0,8.46
1651211080.0,77.6,36.0,8.09
1651211085.0,78.6,35.0,8.24
1651211090.0,78.0,36.0,8.49
1651211095.0,76.1,35.0,8.22
1651211100.0,75.2,34.0,8.36
1651211105.0,78.2,36.0,8.27
1651211110.0,78.9,35.0,8.12
1651211115.0,77.6,35.0,8.03
1651211120.0,74.8,36.0,8.01
1651211125.0,75.7,34.0,8.21
1651211130.0,76.2,34.0,8.33
1651211135.0,78.2,34.0,8.2
1651211140.0,77.2,36.0,8.34
1651211145.0,77.5,36.0,8.39
1651211150.0,79.5,34.0,8.0
1651211155.0,73.2,36.0,8.29
1651211160.0,73.0,35.0,8.32
1651211165.0,78.1,35.0,8.05
1651211170.0,77.5,36.0,8.24
1651211175.0,77.6,36.0,8.47
1651211180.0,78.2,35.0,8.08
1651211185.0,76.8,35.0,8.02
1651211190.0,74.2,36.0,8.19
1651211195.0,79.9,36.0,8.39
1651211200.0,77.9,34.0,8.21
1651211205.0,75.4,35.0,8.06
1651211210.0,76.9,36.0,8.36
1651211215.0,73.6,35.0,8.28
1651211220.0,74.6,36.0,8.32
1651211225.0,76.5,35.0,8.34
1651211230.0,74.0,35.0,8.19
1651211235.0,74.9,35.0,8.3
1651211240.0,78.3,34.0,8.0
1651211245.0,78.2,36.0,8.38
1651211250.0,78.9,35.0,8.4
1651211255.0,78.7,35.0,8.46
1651211260.0,73.8,34.0,8.5
1651211265.0,79.2,36.0,8.36
1651211270.0,77.8,35.0,8.13
1651211275.0,79.0,36.0,8.34
1651211280.0,78.2,35.0,8.05
1651211285.0,77.3,34.0,8.03
1651211290.0,78.0,35.0,8.26
1651211295.0,76.9,34.0,8.45
1651211300.0,74.3,35.0,8.04
1651211305.0,75.7,35.0,8.23
1651211310.0,79.3,35.0,8.05
1651211315.0,73.7,36.0,8.09
1651211320.0,78.7,34.0,8.18
1651211325.0,74.1,35.0,8.36
1651211330.0,79.5,36.0,8.15
1651211335.0,73.5,36.0,8.22
1651211340.0,76.9,36.0,8.4
1651211345.0,76.9,34.0,8.17
1651211350.0,74.2,36.0,8.09
1651211355.0,74.4,36.0,8.2
1651211360.0,78.7,34.0,8.34
1651211365.0,78.8,34.0,8.36
1651211370.0,75.8,34.0,8.39
1651211375.0,75.5,34.0,8.23
1651211380.0,77.6,35.0,8.09
1651211385.0,74.1,36.0,8.5
1651211390.0,77.7,34.0,8.47
1651211395.0,79.6,34.0,8.12
1651211400.0,78.3,36.0,8.09
1651211405.0,77.3,34.0,8.38
1651211410.0,78.9,34.0,8.06
1651211415.0,74.3,36.0,8.02
1651211420.0,76.5,34.0,8.24
1651211425.0,76.2,34.0,8.29
1651211430.0,80.0,35.0,8.16
1651211435.0,73.7,34.0,8.07
1651211440.0,79.5,34.0,8.48
1651211445.0,76.0,34.0,8.15
1651211450.0,75.0,35.0,8.15
1651211455.0,73.7,35.0,8.48
1651211460.0,75.7,36.0,8.26
1651211465.0,76.2,34.0,8.09
1651211470.0,78.9,36.0,8.19
1651211475.0,76.5,36.0,8.02
1651211480.0,74.1,35.0,8.0
1651211485.0,77.8,36.0,8.2
1651211490.0,73.9,34.0,8.14
1651211495.0,76.6,36.0,8.06
1651211500.0,74.2,35.0,8.36
1651211505.0,73.0,34.0,8.39
1651211510.0,74.6,36.0,8.32
1651211515.0,77.3,35.0,8.07
1651211520.0,73.0,36.0,8.3
1651211525.0,73.6,34.0,8.05
1651211530.0,75.3,34.0,8.04
1651211535.0,73.2,35.0,8.0
1651211540.0,78.3,36.0,8.44
1651211545.0,77.4,36.0,8.46
1651211550.0,74.0,36.0,8.48
1651211555.0,78.8,36.0,8.36
1651211560.0,79.6,35.0,8.29
1651211565.0,75.4,35.0,8.39
1651211570.0,76.3,36.0,8.35
1651211575.0,77.9,36.0,8.16
1651211580.0,74.4,35.0,8.27
1651211585.0,74.4,34.0,8.49
1651211590.0,77.1,36.0,8.05
1651211595.0,73.0,34.0,8.02
1651211600.0,79.3,36.0,8.09
1651211605.0,77.7,34.0,8.41
1651211610.0,78.2,35.0,8.33
1651211615.0,76.6,35.0,8.38
1651211620.0,74.7,36.0,8.3
1651211625.0,76.4,36.0,8.09
1651211630.0,79.1,35.0,8.2
1651211635.0,75.0,34.0,8.24
1651211640.0,78.1,34.0,8.4
1651211645.0,73.9,36.0,8.25
1651211650.0,76.1,34.0,8.21
1651211655.0,76.3,35.0,8.19
1651211660.0,78.9,36.0,8.38
1651211665.0,79.1,35.0,8.14
1651211670.0,76.6,35.0,8.35
1651211675.0,77.8,35.0,8.46
1651211680.0,78.3,34.0,8.38
1651211685.0,74.2,34.0,8.38
1651211690.0,79.2,35.0,8.36
1651211695.0,75.1,34.0,8.12
1651211700.0,78.2,36.0,8.36
1651211705.0,73.1,36.0,8.25
1651211710.0,73.2,36.0,8.19
1651211715.0,75.3,35.0,8.46
1651211720.0,76.3,34.0,8.05
1651211725.0,80.0,36.0,8.2
1651211730.0,73.9,34.0,8.22
1651211735.0,75.5,35.0,8.41
1651211740.0,77.4,34.0,8.19
1651211745.0,74.4,35.0,8.09
1651211750.0,79.7,35.0,8.0
1651211755.0,73.0,34.0,8.37
1651211760.0,77.3,34.0,8.4
1651211765.0,75.7,36.0,8.17
1651211770.0,73.7,35.0,8.48
1651211775.0,75.6,36.0,8.39
1651211780.0,78.0,34.0,8.13
1651211785.0,75.6,34.0,8.26
1651211790.0,75.7,34.0,8.37
1651211795.0,74.1,34.0,8.35
1651211800.0,79.8,36.0,8.06
1651211805.0,73.7,36.0,8.49
1651211810.0,77.7,36.0,8.03
1651211815.0,74.7,36.0,8.09
1651211820.0,76.7,36.0,8.18
1651211825.0,77.0,35.0,8.22
1651211830.0,75.2,34.0,8.48
1651211835.0,73.1,36.0,8.06
1651211840.0,77.2,35.0,8.18
1651211845.0,76.5,35.0,8.2
1651211850.0,75.4,34.0,8.3
1651211855.0,76.9,34.0,8.06
1651211860.0,77.4,34.0,8.29
1651211865.0,74.2,36.0,8.43
1651211870.0,79.8,34.0,8.35
1651211875.0,74.6,36.0,8.15
1651211880.0,79.8,34.0,8.17
1651211885.0,79.3,34.0,8.28
1651211890.0,77.4,36.0,8.04
1651211895.0,73.8,35.0,8.34
1651211900.0,76.3,35.0,8.03
1651211905.0,77.3,34.0,8.5
1651211910.0,77.2,36.0,8.41
1651211915.0,77.0,36.0,8.01
1651211920.0,73.4,36.0,8.46
1651211925.0,73.4,34.0,8.5
1651211930.0,77.5,35.0,8.17
1651211935.0,78.6,36.0,8.29
1651211940.0,73.4,34.0,8.11
1651211945.0,73.8,36.0,8.02
1651211950.0,78.7,36.0,8.17
1651211955.0,74.5,34.0,8.08
1651211960.0,77.6,35.0,8.19
1651211965.0,74.9,34.0,8.02
1651211970.0,74.1,35.0,8.46
1651211975.0,76.4,34.0,8.19
1651211980.0,74.6,36.0,8.04
1651211985.0,74.6,36.0,8.05
1651211990.0,78.5,34.0,8.44
1651211995.0,75.4,36.0,8.21
1651212000.0,79.2,36.0,8.28
1651212005.0,80.0,36.0,8.13
1651212010.0,76.5,35.0,8.22
1651212015.0,74.1,36.0,8.33
1651212020.0,78.3,36.0,8.37
1651212025.0,74.9,34.0,8.0
1651212030.0,75.0,36.0,8.06
1651212035.0,77.4,36.0,8.48
1651212040.0,78.1,35.0,8.34
1651212045.0,73.4,36.0,8.23
1651212050.0,79.6,36.0,8.26
1651212055.0,73.1,34.0,8.13
1651212060.0,77.7,35.0,8.29
1651212065.0,73.5,35.0,8.48
1651212070.0,76.0,34.0,8.07
